Report generated on: 04-19-2021 22:48:19
"API","","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.27-12-ASM-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-ASM-BKWH.A","        Fossil fuels (billion kWh)","0.094","0.102","0.102","0.115","0.122","0.129","0.134","0.141","0.147","0.152","0.159","0.161","0.168","0.177","0.177","0.178","0.181","0.184","0.187","0.178","0.159","0.155","0.157","0.156","0.156","0.163","0.17","0.167"
"INTL.29-12-ASM-BKWH.A","        Renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.33-12-ASM-BKWH.A","            Hydroelectricity (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.34-12-ASM-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.35-12-ASM-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-ASM-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.117-12-ASM-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-ASM-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.37-12-ASM-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-ASM-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.82-12-ASM-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-ASM-BKWH.A","    Consumption (billion kWh)","0.08742","0.09486","0.09486","0.10695","0.11346","0.11997","0.12462","0.13113","0.13671","0.14136","0.14787","0.14973","0.15624","0.16461","0.16461","0.16554","0.16833","0.17112","0.17391","0.16554","0.14787","0.14415","0.14601","0.14508","0.14508","0.15159","0.1581","0.15531"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-AGO-BKWH.A","    Generation (billion kWh)","1.169","1.166","1.283","1.332","1.342","1.347","1.377","1.331","1.52","1.3","1.40402","1.59074","1.71668","1.93776","2.18608","2.72998","3.24054","3.1488","4.06368","4.60554","5.31724","5.52336","6.03408","7.97606","9.21666","9.30914","10.203511","10.67604"
"INTL.27-12-AGO-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-AGO-BKWH.A","        Fossil fuels (billion kWh)","0.451","0.451","0.451","0.451","0.456","0.456","0.461","0.465","0.471","0.415","0.50102","0.58374","0.58468","0.70876","0.45308","0.53298","0.60254","0.6768","0.96068","1.54254","1.64124","1.54536","2.28608","3.24206","4.17266","4.21214","4.27324","2.88204"
"INTL.29-12-AGO-BKWH.A","        Renewables (billion kWh)","0.718","0.715","0.832","0.881","0.886","0.891","0.916","0.866","1.049","0.885","0.903","1.007","1.132","1.229","1.733","2.197","2.638","2.472","3.103","3.063","3.676","3.978","3.748","4.734","5.044","5.097","5.930271","7.794"
"INTL.33-12-AGO-BKWH.A","            Hydroelectricity (billion kWh)","0.718","0.715","0.832","0.881","0.886","0.891","0.916","0.866","1.049","0.885","0.903","1.007","1.132","1.229","1.733","2.197","2.638","2.472","3.103","3.063","3.666","3.967","3.734","4.719","4.991","5.037","5.757","7.576"
"INTL.34-12-AGO-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.011","0.014","0.015","0.053","0.06","0.173271","0.218"
"INTL.35-12-AGO-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-AGO-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.011","0.014","0.015","0.017","0.018","0.018271","0.018"
"INTL.117-12-AGO-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-AGO-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.011","0.014","0.015","0.017","0.018","0.018271","0.018"
"INTL.37-12-AGO-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-AGO-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.036","0.042","0.155","0.2"
"INTL.82-12-AGO-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-AGO-BKWH.A","    Consumption (billion kWh)","0.958","0.899","1.013","1.062","1.071","1.074","1.085","1.216","1.328","1.106","1.19302","1.35274","1.45868","1.64976","1.59608","2.06798","2.85054","2.7178","3.64768","4.13154","4.69024","4.88636","5.33508","7.05006","8.14866","8.23114","9.036511","9.46904"
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-ATA-BKWH.A","    Generation (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.004","0.004","0.004","0.0005","0.0005","0.0005","0.001","0.001","0"
"INTL.27-12-ATA-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-ATA-BKWH.A","        Fossil fuels (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.29-12-ATA-BKWH.A","        Renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.004","0.004","0.004","0.0005","0.0005","0.0005","0.001","0.001","0"
"INTL.33-12-ATA-BKWH.A","            Hydroelectricity (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.34-12-ATA-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.004","0.004","0.004","0.0005","0.0005","0.0005","0.001","0.001","0"
"INTL.35-12-ATA-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-ATA-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.117-12-ATA-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-ATA-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.37-12-ATA-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.004","0.004","0.004","0.0005","0.0005","0.0005","0.001","0.001","0"
"INTL.38-12-ATA-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.82-12-ATA-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-ATA-BKWH.A","    Consumption (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00186","0.00186","0.00186","0.00186","0.00372","0.00372","0.00372","0.000465","0.000465","0.000465","0.00093","0.00093","0"
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-ATG-BKWH.A","    Generation (billion kWh)","0.089","0.089","0.089","0.089","0.091","0.092","0.092","0.093","0.095","0.095","0.141","0.161","0.18","0.198","0.208","0.228","0.243","0.263","0.271","0.308","0.3192","0.3185","0.3105","0.3106","0.3166","0.325355","0.328512","0.329142"
"INTL.27-12-ATG-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-ATG-BKWH.A","        Fossil fuels (billion kWh)","0.089","0.089","0.089","0.089","0.091","0.092","0.092","0.093","0.095","0.095","0.141","0.161","0.18","0.198","0.208","0.228","0.243","0.263","0.271","0.308","0.319","0.318","0.31","0.31","0.316","0.32","0.323","0.323"
"INTL.29-12-ATG-BKWH.A","        Renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0005","0.0005","0.0006","0.0006","0.005355","0.005512","0.006142"
"INTL.33-12-ATG-BKWH.A","            Hydroelectricity (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
